Seg_ID,lat,lon,slope
55,39.03511689,-77.43377135,0.0005
56,39.03162914,-77.4346982,0.0006
57,39.02839399,-77.43668593,0.00069
58,39.02547855,-77.43861863,0.00061
59,39.02338276,-77.44079589,0.00082
60,39.01932117,-77.44467874,0.00082
61,39.0190756,-77.44517871,0.0005
62,39.01691743,-77.44679705,0.0005
63,39.01449216,-77.44845709,0.00113
64,39.01206275,-77.45011947,0.00087
65,39.01006819,-77.45196384,0.00087
66,39.00827418,-77.45425081,0.00087
67,39.00647769,-77.45653424,0.00087
68,39.00623025,-77.45980826,0.00087
68.8,39.00621992,-77.46014959,0.00087
68.81,39.00550267,-77.46094027,0.00087
69,39.00435713,-77.46160319,0.00087
70,39.00185504,-77.46306661,0.00087
71,38.9994421,-77.46400299,0.00087
72,38.99664838,-77.46393069,0.00087
73,38.99533936,-77.46433667,0.00021
73.8,38.99522247,-77.46438842,0.00021
74,38.99376536,-77.46481104,0.00021
75,38.99113631,-77.46378768,0.001
76,38.98850755,-77.46274993,0.001
77,38.98733638,-77.46185029,0.001
78,38.98600527,-77.46070564,0.001
79,38.98456097,-77.4596935,0.001
80,38.98334679,-77.45884372,0.001
80.2,38.98296318,-77.45715303,0.0013
80.8,38.98269814,-77.45542113,0.0013
80.81,38.98266046,-77.45450541,0.0013
80.82,38.98265492,-77.4529172,0.0013
80.83,38.98257751,-77.45227808,0.0013
81,38.98190439,-77.45783399,0.0007
82,38.98069216,-77.45698571,0.0007
83,38.9792474,-77.45597318,0.0011
84,38.97838441,-77.45470199,0.0011
85,38.97765487,-77.453199,0.0011
86,38.976924,-77.45169712,0.0011
87,38.97635668,-77.45052964,0.0011
88,38.97562633,-77.44902698,0.0011
89,38.97489563,-77.4475252,0.0011
90,38.97387669,-77.44641815,0.0011
91,38.97269577,-77.44549705,0.0011
92,38.971517,-77.44457568,0.0011
93,38.97037549,-77.44368456,0.00609
94,38.9695343,-77.44302823,0.00609
95,38.96887969,-77.44222299,0.00609
96,38.96813546,-77.44074511,0.001
97,38.96730257,-77.43934711,0.001
98,38.9668721,-77.43767389,0.001
99,38.96641253,-77.43602416,0.001
100,38.9659176,-77.43442936,0.001
101,38.96558487,-77.43268394,0.001
102,38.96513653,-77.43126193,0.001
103,38.96495139,-77.43069352,0.001
103.2,38.96510773,-77.4302517,0.0013
103.8,38.96589901,-77.42909087,0.0013
103.81,38.96635897,-77.42841531,0.0013
104,38.96404408,-77.43026329,0.0018
105,38.96286125,-77.43016239,0.0018
106,38.96134359,-77.43022272,0.0018
107,38.96057014,-77.43039805,0.0012
107.2,38.96060989,-77.43037783,0.00658
107.8,38.95834552,-77.42939936,0.00693
107.82,38.95771071,-77.42853494,0.00319
107.83,38.95730987,-77.42803148,0.00319
108,38.95998404,-77.43167188,0.0012
109,38.9590016,-77.4318876,0.0012
110,38.95802278,-77.4319043,0.0012
111,38.95664903,-77.4319296,0.0012
112,38.95527283,-77.43195383,0.0012
113,38.95389597,-77.43197811,0.0012
114,38.95252042,-77.43200335,0.0012
115,38.95126469,-77.43205782,0.0012
116,38.94989346,-77.43158001,0.0012
117,38.94891318,-77.43035359,0.0012
118.2,38.94808235,-77.42917647,0.0012
200,39.00640502,-77.25484187,0.001
201,39.00271727,-77.25649449,0.001
202,39.00033324,-77.25665794,0.001
203,38.9978364,-77.25601231,0.0017
204,38.99508856,-77.25526996,0.0017
205,38.99311412,-77.25434873,0.0017
206,38.99003973,-77.25318385,0.0017
207,38.98754963,-77.25053553,0.0017
208,38.98567736,-77.25055458,0.0017
208.2,38.97834872,-77.24951198,0.0006
209,38.97793379,-77.24945391,0.0006
210,38.97612642,-77.25346715,0.0006
211,38.97513462,-77.25552838,0.0009
212,38.97420075,-77.25995526,0.0009
213,38.97234884,-77.26370048,0.0009
214,38.97165546,-77.2669044,0.0017
215,38.97179347,-77.26994824,0.0017
216,38.97129122,-77.27432257,0.0017
217,38.97085007,-77.27634606,0.003
218,38.97070097,-77.27839608,0.0026
219,38.97034179,-77.28014232,0.0026
220,38.96926061,-77.28090213,0.0026
221,38.96886649,-77.28336782,0.0026
222,38.96818331,-77.28528219,0.0026
223,38.96756884,-77.2866277,0.0026
224,38.96656911,-77.28778956,0.0026
300,39.05229173,-77.3628545,0.0063
301,39.04952544,-77.36283635,0.0008
302,39.04755251,-77.36372218,0.0008
303,39.04620418,-77.36432672,0.0016
304,39.04445459,-77.36401419,0.0016
305,39.04295095,-77.36320794,0.0014
306,39.04272846,-77.36304635,0.0014
307,39.03937902,-77.36335594,0.0014
308,39.03788176,-77.3643407,0.0014
309,39.03603036,-77.36464689,0.0014
310,39.03408781,-77.36458114,0.0014
311,39.03252773,-77.36397939,0.0014
312,39.0313844,-77.36316047,0.0014
313,39.03009846,-77.36430947,0.0014
314,39.02973624,-77.36583797,0.003
315,39.02907023,-77.36737013,0.003
316,39.02769041,-77.36838286,0.003
317,39.02638577,-77.36837645,0.0026
318,39.02513775,-77.36837014,0.0026
319,39.02368507,-77.36913153,0.0026
320,39.02236531,-77.36885695,0.0026
321,39.02086714,-77.36857363,0.0026
322,39.01920854,-77.36829834,0.0026
323,39.01783534,-77.36845442,0.0024
324,39.01626851,-77.36901715,0.0024
325,39.01479236,-77.36948174,0.0024
400,39.045697,-77.27547184,0.00085
401,39.04517324,-77.27337218,0.00085
402,39.04366706,-77.27036394,0.00085
403,39.04227749,-77.2675823,0.00085
404,39.04387752,-77.26521705,0.002
405,39.04387752,-77.26521705,0.0012
406,39.04330666,-77.26200219,0.0012
407,39.04378753,-77.26043105,0.0012
408,39.04816854,-77.28041059,0.0008
409,39.05177809,-77.28514621,0.0075
410,39.05501608,-77.29051276,0.0075
411,39.05818961,-77.29502212,0.0005
412,39.05932752,-77.29870767,0.0005
413,39.0598125,-77.30266968,0.0005
414,39.06002204,-77.30670566,0.0005
417,39.05915008,-77.31198189,0.0005
418,39.06251204,-77.31840091,0.00144
419,39.06498571,-77.32049306,0.00113
420,39.0667761,-77.32279145,0.00113
421,39.06854423,-77.32556848,0.00113
422,39.06880506,-77.32880982,0.00113
423,39.0686511,-77.33253579,0.00113
424,39.06905681,-77.33602553,0.00113
425,39.0694864,-77.33974068,0.00113
